name,radar_an,radar_an2,radar_m0,radar_per,nobrak,vis_an,vis_an2,vis_swh1,vis_swh2,vis_per1,vis_per2,vis_len1,vis_len2,radar_an3,lat_radar,lon_radar,speed,sat_swh,hdg,dir_std,wind_speed
22-11-04_16-58,40,40,0.325572475923799,inf,1,150,170,1.3,0.8,9,8,42,30,121.233280595031,-1.10322880456425,-13.811286633614,4.45114583333333,,50.9,171,7.99788045883179
22-11-05_06-55,173,173,0.257140184658515,inf,1,155,,1.2,,7,,30,,76.127150613354,-1.14695902740459,-14.327024192121,4.17069791666667,1.348,157.55,160,7.32503890991211
22-11-05_12-58,165,165,1.43980254649194,640,1,154,,1.4,,7.3,,34,,61.4134660474126,-1.26247107914489,-14.7073654506722,4.90397916666667,1.524,296.9,165,7.6125864982605
22-11-05_16-59,43,43,0.224420078385868,320,1,100,130,1.7,1.2,5,7.5,21,35,140.09339775425,-1.34243829733976,-14.9936410852198,4.09608333333333,,158.5,177,11.1357440948486
22-11-06_06-58,125,125,0.522900333705183,42.6666666666667,1,150,175,1.2,0.7,7.2,6,33,20,14.5831497928061,-1.44669811243105,-15.2105467001506,4.87310416666667,1.632,304.9,154,7.57102918624878
22-11-06_10-58,131,131,1.98931694510381,inf,1,152,,1.3,,7,,31,,23.656103044408,-1.51232590293515,-15.4815364549276,4.9863125,1.743,298,131,7.53226661682129
22-11-06_13-00,164,164,0.569648046661077,inf,1,155,,1.2,,7.2,,30,,86.8887947622757,-1.56054067049563,-15.6227382069859,4.96572916666667,1.748,258,142,8.05075931549072
22-11-06_16-52,165,165,0.284009615629358,80,1,135,,1.3,,7.2,,28,,90.7866145427145,-1.68393179203238,-16.2330093686286,4.97859375,,256,177,8.9180908203125
22-11-07_06-57,145,145,0.575620122144046,128,1,140,,1.1,,6.3,,26,,26.1333163987383,-1.88207906069567,-17.0536902615437,4.5231875,1.764,346.6,148,6.952956199646
22-11-07_09-11,176,176,0.762295502174889,53.3333333333333,1,162,,1.5,,7,,34,,0,-1.83745696480501,-17.0691335440364,0.144083333333333,1.765,125.8,277,7.6865382194519
22-11-07_12-56,142,142,0.199743635679922,640,1,162,,1.8,,7,,35,,110.096961704156,-1.85911034610755,-17.2300156639575,3.36280208333333,,215.8,148,9.78509902954102
22-11-07_18-55,135,135,0.0943190491907468,45.7142857142857,1,150,,1.5,,7.8,,43,,111.921068751077,-2.02764761982174,-17.7234725404284,4.96058333333333,1.877,214,108,8.39374446868897
22-11-08_10-54,158,158,0.454826707938041,640,1,146,,1.3,,7.8,,28,,72.7740822591334,-2.11100646736836,-18.4502598976896,5.48803125,1.81,268,171,8.37444305419922
22-11-08_12-57,147,147,0.237277991712002,inf,1,142,,1.4,,6.8,,29,,19.4771604004946,-2.18322931455768,-18.6649692592491,5.403125,1.817,340.5,205,9.57400798797607
22-11-08_16-52,162,162,1.67323186830394,53.3333333333333,1,150,,1.7,,7.2,,30,,64.7760378273623,-2.15786431772526,-18.7194686646051,0.205833333333333,,119.05,171,9.57517719268799
22-11-09_06-57,176,176,0.250866056298814,58.1818181818182,1,146,,1.5,,6.8,,26,,0,-1.00032536389089,-19.0895310114212,0.1698125,2.108,136.2,108,9.07191944122315
22-11-09_10-57,164,164,0.230297936418874,inf,1,150,,1.2,,6.9,,25,,15.6500287823025,-0.809519409901238,-19.1606927766531,5.27447916666667,2.062,339.9,165,7.74775457382202
22-11-09_12-58,177,177,0.268004864133968,45.7142857142857,1,150,,1.2,,7.6,,37,,18.0079428738654,-0.486258249801167,-19.2862761657359,5.33108333333333,2.033,341.9,108,8.3075065612793
22-11-09_16-57,178,178,0.194027108668889,64,1,150,,1.8,,7.4,,31,,0,-0.45042137266365,-19.299678324301,0.198114583333333,,144.5,340,9.83254432678223
22-11-10_08-56,159,159,0.597113569620903,213.333333333333,,160,,1.8,,7.2,,33,,104.959287613056,-0.332738231701784,-19.6476341393893,4.6775625,,208.8,165,9.37773132324219
22-11-10_12-57,170,170,0.201743980543317,64,,182,,1.5,,7.2,,32,,130.202481672298,-0.515440860729254,-19.9490584107174,4.75989583333333,,213.7,148,8.83349609375
22-11-10_18-57,175,175,0.542598211266642,71.1111111111111,,150,,1.7,,7.6,,32,,114.665169034029,-0.647228340112529,-20.1504347570189,4.34822916666667,2.223,133.6,125,9.09967422485352
22-11-11_08-52,178,178,0.273671535648134,inf,,150,,1.5,,7.5,,28,,114.254339858867,-0.516891297217231,-20.4242579520357,4.4305625,,171.5,131,7.36417007446289
22-11-11_12-52,4,4,0.17295339455518,640,1,152,,1.6,,7.6,,30,,180,-0.7775950567263,-20.8357599251547,5.20758333333333,1.904,259.2,328,4.64424228668213
22-11-11_18-56,176,176,0.266412128602277,42.6666666666667,1,136,,1.4,,8.2,,33,,62.9665748167678,-0.866251664080288,-21.6558982371255,4.5849375,1.687,66.8,160,7.67341804504395
22-11-12_07-29,47,47,0.489546022834062,640,1,140,100,1.5,1,8.8,7,44,30,110.759920137181,-0.727434510837352,-21.0856674902988,5.10466666666667,1.89,43.5,160,10.2222518920898
22-11-12_12-57,178,178,0.119194100474379,128,,140,125,1.3,1.1,7,5,30,8,98.4193426247612,-1.14164955064933,-20.8760869542688,4.51289583333333,1.868,164.6,194,8.96129417419434
22-11-12_16-56,161,161,0.245184672906026,15.2380952380952,1,150,270,1.4,1,8.2,10,30,40,86.6145206276473,-1.22154630439349,-21.1552473359251,4.95029166666667,,258.9,160,6.3807544708252
22-11-13_10-57,18,18,0.402754835809363,53.3333333333333,1,140,,1.4,,7,,30,,147.182181702206,-0.929092954494635,-21.8412755851161,4.291625,1.742,81.9,328,9.70159912109375
22-11-13_12-56,177,177,0.447336895226919,128,1,140,,1.5,,8,,33,,102.210445709503,-0.729883011913354,-21.7677688932573,4.23244791666667,1.741,84.9,177,0
22-11-13_18-56,194,194,0.469346191736275,213.333333333333,1,136,,1.5,,7,,30,,22.5136235142981,-0.998750829278938,-22.1936104812113,4.60552083333333,1.581,298.85,194,7.98629474639893
22-11-14_08-55,180,180,0.176488421585244,17.2972972972973,1,145,,1.1,,7,,33,,11.3367923684407,-1.03562924830727,-22.8164564586059,4.8165,1.55,352.6,182,7.38678216934204
22-11-14_12-54,174,174,0.143188187990794,106.666666666667,1,140,,1.3,,7,,31,,0,-1.0943630173978,-22.9096387827982,0.154375,1.551,135,165,6.64882278442383
22-11-14_18-56,177,177,0.102778382279937,16.8421052631579,,135,,1.6,,7.4,,30,,75.132942402757,-1.12667685474667,-23.2693262472382,4.25560416666667,1.448,173.7,188,7.90507221221924
22-11-15_07-57,156,156,0.430635934697965,inf,,137,,1.6,,7.4,,34,,107.458182409424,-1.11722380109731,-23.3377873763987,4.26075,1.801,92.8,182,10.6750783920288
22-11-15_11-55,4,4,0.379646672878207,128,1,132,,1.5,,7,,33,,127.195542853632,-1.07884625180206,-22.9254407767077,4.2761875,1.8,88.8,334,10.2133798599243
22-11-15_18-59,159,159,0.2264898810316,inf,1,140,,1.7,,7,,31,,180,-1.43706915431576,-22.5901552577329,0.195541666666667,2.132,160.3,188,9.04077911376953
22-11-16_11-55,161,161,0.19394439206588,106.666666666667,1,150,,1.6,,7.6,,33,,78.9367961603465,-1.14913141031149,-23.9182149277861,4.5695,2.205,262.9,154,0
22-11-16_16-54,168,168,1.4772459674878,640,1,135,,1.7,,7.8,,33,,0,-1.19197027397136,-24.6553920105219,4.50775,2.056,256,171,8.58216667175293
22-11-16_18-58,178,178,0.433263521573183,160,1,130,85,1.5,1.2,7.8,7.5,35,25,0,-1.18029676825528,-24.9679118667018,4.85766666666667,2.046,265.5,120,7.17610454559326
22-11-17_07-57,151,151,1.23101576365788,inf,1,130,110,1.9,1.7,7.4,8,34,35,110.724350111478,-1.1726123784572,-24.4245404312842,0.205833333333333,2.079,143.1,97,8.74861526489258
22-11-17_16-51,169,169,0.88513779575682,inf,1,150,,1.8,,6.8,,31,,22.3901002996261,-1.11498494477138,-24.0074069735819,5.47516666666667,2.169,2.8,300,8.94011878967285
22-11-18_07-57,175,175,0.259902856216548,53.3333333333333,,120,,1.7,,6.8,,33,,24.4989374607075,0.831469335063311,-23.0143739301446,5.23073958333333,2.136,24.9,142,10.2827711105347
22-11-18_12-56,169,169,0.404360170873792,49.2307692307692,1,142,100,1.5,1.2,7.6,6.3,31,25,24.8684155661414,1.62879235546945,-22.7793241742089,5.24360416666667,2.226,22.8,125,8.77792072296143
22-11-18_16-55,58,58,0.488883718631523,inf,1,145,,1.4,,7.8,,34,,80.7678409076551,2.29019696812521,-22.5841957697209,5.42885416666667,1.853,28.9,322,8.0010232925415
22-11-18_18-57,317,317,0.454382029087452,106.666666666667,1,145,,1.4,,8,,34,,20.6655570543578,2.62998302281996,-22.483956437874,5.39283333333333,1.893,28.9,317,7.07605886459351
22-11-19_10-55,283,283,0.102531541246852,17.7777777777778,,120,,1.1,,8.6,,33,,0,5.20066282666092,-21.6546458174258,5.26933333333333,2.244,19.8,97,4.70180320739746
22-11-19_12-55,261,261,0.127449429422367,18.8235294117647,,145,,1.1,,8,,30,,39.2057061385342,5.51325688018874,-21.5281369630603,5.15869791666667,2.223,18.8,254,4.26144886016846
22-11-19_18-56,254,254,0.128643787672113,49.2307692307692,,143,,1,,8.8,,35,,0,6.43813442456129,-21.1524103509436,5.0480625,,21.8,211,3.84209871292114
22-11-20_08-58,85,85,0.198836465358749,22.0689655172414,,355,,1.7,,8,,42,,124.237327380773,8.48977535793982,-20.3158493427014,4.76504166666667,1.932,20.9,80,5.69632911682129
22-11-20_11-56,288,288,0.135139054304531,inf,1,355,,1.6,,8.4,,42,,130.741707106522,8.91302280296162,-20.1467736059393,4.71872916666667,1.967,356.9,5,7.18342971801758
22-11-20_16-57,96,96,0.17212262379738,91.4285714285714,,355,,1.9,,7.4,,37,,152.723858017918,9.65569727606395,-20.2208839565438,4.87825,,358.9,17,7.2667031288147
22-11-21_06-58,340,340,0.40785527342286,inf,1,0,230,2.2,1.8,12,6,50,16,140.331415261108,11.7591056414649,-20.4135616001622,4.4614375,2.7,355.9,208,10.70481300354
